AMPKB1   hits/sites:  0/  2   Isomers =  {'sum': 0}
TSSK4   hits/sites:  0/  4   Isomers =  {'sum': 0}
CAMK4   hits/sites:  3/  6   Isomers =  {'sum': 0}
CAMK1A   hits/sites:  0/  6   Isomers =  {'sum': 0}
TAK1   hits/sites:  0/  9   Isomers =  {'sum': 0}
PKDCC   hits/sites:  0/  1   Isomers =  {'sum': 0}
MARK2   hits/sites:  0/  10   Isomers =  {'sum': 0}
QIK   hits/sites:  0/  3   Isomers =  {'sum': 0}
ERK5   hits/sites:  0/  3   Isomers =  {'sum': 2, 'MAPK1.ERK2': 1, 'MAPK3.ERK1': 1}
JNK3   hits/sites:  0/  5   Isomers =  {'sum': 3, 'MAPK9.JNK2': 1, 'MAPK8.JNK1': 2}
CAMK2B   hits/sites:  0/  7   Isomers =  {'sum': 1, 'CAMK2A': 1}
P70S6KB   hits/sites:  0/  18   Isomers =  {'sum': 1, 'RPS6KB1': 1}
EEF2K   hits/sites:  0/  8   Isomers =  {'sum': 0}
P70S6K ISO2   hits/sites:  0/  1   Isomers =  {'sum': 0}
SGK3   hits/sites:  1/  3   Isomers =  {'sum': 0}
PKCZ   hits/sites:  0/  13   Isomers =  {'sum': 0}
AKT3   hits/sites:  2/  4   Isomers =  {'sum': 0}
KHS1   hits/sites:  0/  1   Isomers =  {'sum': 0}
MELK   hits/sites:  0/  6   Isomers =  {'sum': 0}
RIPK3   hits/sites:  0/  3   Isomers =  {'sum': 0}
CDK16   hits/sites:  0/  4   Isomers =  {'sum': 2, 'CDK6-CCND1': 1, 'CDK1-CCNB1': 1}
TAO2   hits/sites:  0/  1   Isomers =  {'sum': 0}
PKCI   hits/sites:  0/  11   Isomers =  {'sum': 0}
NUAK1   hits/sites:  0/  6   Isomers =  {'sum': 0}
PIM2   hits/sites:  0/  6   Isomers =  {'sum': 1, 'PIM1': 1}
ATR   hits/sites:  0/  14   Isomers =  {'sum': 0}
PDHK4   hits/sites:  0/  5   Isomers =  {'sum': 0}
PDHK2   hits/sites:  0/  5   Isomers =  {'sum': 0}
PDHK3   hits/sites:  0/  4   Isomers =  {'sum': 0}
PDHK1   hits/sites:  0/  5   Isomers =  {'sum': 0}
IKKB   hits/sites:  0/  1   Isomers =  {'sum': 0}
PRKD2   hits/sites:  0/  5   Isomers =  {'sum': 1, 'PRKD1': 1}
COT   hits/sites:  0/  7   Isomers =  {'sum': 0}
ZAK   hits/sites:  0/  2   Isomers =  {'sum': 0}
PDK1   hits/sites:  0/  5   Isomers =  {'sum': 0}
TLK2   hits/sites:  0/  1   Isomers =  {'sum': 0}
NEK2   hits/sites:  0/  6   Isomers =  {'sum': 0}
DYRK1B   hits/sites:  0/  1   Isomers =  {'sum': 0}
CK2A2   hits/sites:  0/  1   Isomers =  {'sum': 0}
DCAMKL1   hits/sites:  0/  2   Isomers =  {'sum': 0}
PLK2   hits/sites:  0/  1   Isomers =  {'sum': 0}
PLK3   hits/sites:  0/  4   Isomers =  {'sum': 0}
CK1D   hits/sites:  0/  3   Isomers =  {'sum': 0}
CAMK2D ISO8   hits/sites:  0/  5   Isomers =  {'sum': 0}
SRPK1   hits/sites:  0/  1   Isomers =  {'sum': 1, 'SRPK2': 1}
CDK6   hits/sites:  5/  7   Isomers =  {'sum': 2, 'CDK2-CCNA2': 1, 'CDK2-CCNE1': 1}
PRKD3   hits/sites:  0/  2   Isomers =  {'sum': 1, 'PRKD2': 1}
QSK   hits/sites:  0/  1   Isomers =  {'sum': 0}
SIK   hits/sites:  1/  3   Isomers =  {'sum': 0}
PLK4   hits/sites:  0/  2   Isomers =  {'sum': 0}
CLK1   hits/sites:  0/  3   Isomers =  {'sum': 0}
PIM3   hits/sites:  0/  5   Isomers =  {'sum': 1, 'PIM1': 1}
MAPKAPK5   hits/sites:  0/  1   Isomers =  {'sum': 0}
MNK1   hits/sites:  0/  3   Isomers =  {'sum': 0}
IRAK1   hits/sites:  0/  1   Isomers =  {'sum': 0}
JNK2 ISO2   hits/sites:  0/  1   Isomers =  {'sum': 0}
NEK6   hits/sites:  0/  4   Isomers =  {'sum': 0}
BUB1   hits/sites:  0/  2   Isomers =  {'sum': 0}
MEKK1   hits/sites:  0/  1   Isomers =  {'sum': 0}
PHKG2   hits/sites:  0/  2   Isomers =  {'sum': 0}
MARK1   hits/sites:  0/  3   Isomers =  {'sum': 0}
CK1E   hits/sites:  0/  3   Isomers =  {'sum': 0}
RIPK1   hits/sites:  0/  2   Isomers =  {'sum': 0}
EGFR   hits/sites:  0/  1   Isomers =  {'sum': 0}
MEK1   hits/sites:  0/  3   Isomers =  {'sum': 0}
JAK2   hits/sites:  0/  3   Isomers =  {'sum': 0}
LCK   hits/sites:  0/  1   Isomers =  {'sum': 0}
MEK2   hits/sites:  0/  1   Isomers =  {'sum': 0}
RET   hits/sites:  0/  1   Isomers =  {'sum': 0}
PHKA1   hits/sites:  0/  1   Isomers =  {'sum': 0}
CAMKK2   hits/sites:  0/  2   Isomers =  {'sum': 0}
PKG1 ISO2   hits/sites:  0/  1   Isomers =  {'sum': 0}
MAPKAPK3   hits/sites:  0/  1   Isomers =  {'sum': 0}
GSK3B ISO2   hits/sites:  0/  2   Isomers =  {'sum': 0}
JAK1   hits/sites:  0/  2   Isomers =  {'sum': 0}
FAK   hits/sites:  0/  2   Isomers =  {'sum': 0}
CAMK2G   hits/sites:  0/  1   Isomers =  {'sum': 0}
PKR   hits/sites:  0/  1   Isomers =  {'sum': 0}
PKG2   hits/sites:  0/  2   Isomers =  {'sum': 0}
VPRBP   hits/sites:  0/  1   Isomers =  {'sum': 0}
CAMK2D   hits/sites:  0/  1   Isomers =  {'sum': 0}
ARAF   hits/sites:  0/  3   Isomers =  {'sum': 0}
CDK3   hits/sites:  0/  3   Isomers =  {'sum': 8, 'CDK4-CCND3': 2, 'CDK7-CCNH-MNAT1': 2, 'CDK6-CCND3': 2, 'CDK4-CCND1': 2}
ERK7   hits/sites:  0/  3   Isomers =  {'sum': 3, 'MAPK7.ERK5': 3}
BCKDK   hits/sites:  0/  1   Isomers =  {'sum': 0}
CAMK1G   hits/sites:  0/  1   Isomers =  {'sum': 0}
CAMK1B   hits/sites:  0/  1   Isomers =  {'sum': 0}
WNK2   hits/sites:  0/  1   Isomers =  {'sum': 0}
GTF2F1   hits/sites:  0/  3   Isomers =  {'sum': 0}
MARK3   hits/sites:  0/  2   Isomers =  {'sum': 0}
BRSK1 ISO2   hits/sites:  0/  1   Isomers =  {'sum': 0}
CDK9   hits/sites:  0/  3   Isomers =  {'sum': 6, 'CDK2-CCNA2': 2, 'CDK1-CCNB1': 2, 'CDK4-CCND1': 1, 'CDK6-CCND1': 1}
MASTL   hits/sites:  0/  1   Isomers =  {'sum': 0}
MAST3   hits/sites:  0/  1   Isomers =  {'sum': 0}
MARK3 ISO3   hits/sites:  0/  1   Isomers =  {'sum': 0}
GRK5   hits/sites:  0/  1   Isomers =  {'sum': 0}
WNK1   hits/sites:  0/  2   Isomers =  {'sum': 0}
IKKE   hits/sites:  0/  2   Isomers =  {'sum': 0}
SRPK2   hits/sites:  0/  1   Isomers =  {'sum': 0}
SGK2   hits/sites:  0/  1   Isomers =  {'sum': 0}
VRK2   hits/sites:  0/  1   Isomers =  {'sum': 0}
ERK3   hits/sites:  0/  1   Isomers =  {'sum': 0}
