MARK4;Q96L34;;;
MAST2;Q6P0Q8;;;
MELK;Q14680;;;
MERTK.MER;Q12866;;;
MET;P08581;;;
NIM1K;Q8IY84;;;
MINK1;Q8N4C8;;;
MLCK;Q15746;;;
MAP3K9.MLK1;P80192;;;
MAP3K10.MLK2;Q02779;;;
MAP3K11.MLK3;Q16584;;;
MKNK2;Q9HBH9;;;
MOS;P00540;;;
CDC42BPB.MRCKB;Q9Y5S2;;;
RPS6KA5.MSK1;O75582;;;
RPS6KA4.MSK2;O75676;;;
SRPK3;Q9UPE1;;;
STK4;Q13043;;;
STK3;Q13188;;;
STK24;Q9Y6E0;;;
STK26;Q9P289;;;
MTOR;P42345;;;
MUSK;O15146;;;
STK38;Q91VJ4;!;;
STK38L;Q9Y2H1;;;
NEK1;Q96PY6;;;
NEK11;Q8NG66;;;
NEK2;P17252;;;
NEK4;P51957;;;
NEK6;Q9HC98;;;
NEK7;Q8TDX7;;;
NEK9;Q8TD19;;;
NLK;Q9UBE8;;;
NPM1:ALK;Q9UM73;;;
NUAK1;Q9UEE5;;;
NUAK2;Q9H093;;;
OXSR1;O95747;;;
MAPK11;Q15759;;;
MAPK13;O15264;;;
MAPK12;P53778;;;
MAPK14;Q16539;;;
RPS6KB1;P23443;;;
RPS6KB2;Q9UBS0;;;
PAK1;Q13153;;;
PAK2;Q13177;;; 
PAK3;O75914;;;
PAK4;O96013;;;
PAK5;Q9P286;;;
PAK6;Q9NQU5;;;
PASK;Q96RG2;;;
PBK;Q96KB5;;;
PDGFRA;P16234;;;
PDGFRB;P09619;;;
EIF2AK3;Q9NZJ5;;;
CDK14-CCND3;O94921;;;
PRKG1;Q13976;;;
PHKG1;Q16816;;;
PHKG2;P15735;;;
PIK3C3;Q8NEB9;;;
PIK3CG;P48736;;;
PIK3R5;QWYR1;;;
PIM1;P11309;;;
PIM2;Q9P1W9;;;
PIM3;Q86V86;;;
PRKACA;P17612;;;
PRKCB;P05771;;;
PRKCA;P17252;!;;
PRKCB1.PRKCB;P05771;;;
PRKCB2.PRKCB;P05771-2;;;
PRKCD.PKCD;Q05655;;;
PRKCE.PKCE;P00517;;;
PRKCG.PKCG;P45984;;;
PRKCH;P24723;;;
PRKCI;P41743;;;
PRKCQ;Q04759;;;
PRKCZ;Q05513;;;
PRKD1;Q15139;;;
PRKD2;Q9BZL6;;;
PRKD3;O94806;;;
PKN1;Q16512;;;
PKN2;Q16513;;;
PLK1;P53350;;;
PLK2;Q9NYY3;;;
PLK3;P51955;;;
PLK4;O00444;;;
PRKACG;P22612;;;
PRKX;P51817;;;
PTK2B;Q14289;;;
SIK2;Q9H0K1;;;
MOK;Q9UQ07;;;
RET;P07949;;;
GRK1;Q15835;;;
RIPK5;Q6XUX3;;;
ROCK1;Q13464;;;
ROCK2;O75116;;;
MST1R;Q04912;;;
ROS1;P08922;;;
RPS6KA1;Q15418;;;
RPS6KA3;P51812;;;
RPS6KA2;Q15349;;;
RPS6KA6;Q9UK32;;;
SGK1;Q9P0L2;;;
SGK2;Q9HBY8;;;
SGK3;Q96BR1;;;
SIK1;P57059;;;
MYLK2;Q9H1R3;;;
SPHK2;Q9NRA0;;;
SRMS;Q9H3Y6;;;
SRPK2;P78362;;;
STK16;O75716;;;
STK33;Q9BYT3;;;
STK39;Q9UEW8;;;
SYK;P43405;;;
MAP3K7;O43318;;;
TAOK1;Q7L7X3;;;
TAOK2;Q9UL54;;;
TAOK3;Q9H2K8;;;
TBK1;Q9UHD2;;;
TEC;P42680;;;
TESK1;Q15569;;;
TGFBR1;P36897;;;
TEK;Q02763;;;
TLK1;Q9UKI8;;;
TLK2;Q86UE8;;;
TNIK;Q9UKE5;;;
TNK1;Q13470;;;
NTRK1;P04629;;;
NTRK2;Q16620;;;
NTRK3;Q16288;;;
TSSK1;Q9BXA7;;;
TSSK2;Q96PF2;;;
TTBK1;Q5TCY1;;;
TXK;P42681;;;
TYK2;P29597;;;
TYRO3;Q06418;;;
ULK3;Q6PHR2;;;
VRK1;Q99986;;;
VRK2;Q99986;;;
WEE1;P41279;;;
WNK1;Q9H4A3;;;
WNK2;Q9Y3S1;;;
WNK3;Q9BYP7;;;
YES1;P07947;;;
STK25;O00506;;;
ZAK;Q9NYL2;;;
ZAP70;P43403;;;
